FECHA,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,VALOR_DIARIO_MAG_8,VALIDACION,intensidad_total_diaria,ocupacion_media_diaria,carga_media_diaria,mes,dia_semana,VALOR_DIARIO_DIA_ANTERIOR,velocidad_viento,humedad_relativa,precipitaciones
2023-01-01,28,79,56,8,28079056_8_8,54.0,V,85985,2.171875,13.578125,1,6,,0.7,65.0,0.0
2023-01-02,28,79,56,8,28079056_8_8,50.0,V,110734,2.926418439716312,18.8082890070922,1,0,54.0,0.77,80.0,0.1
2023-01-03,28,79,56,8,28079056_8_8,50.0,V,133904,3.5260416666666665,22.161458333333336,1,1,50.0,0.74,79.0,0.0
2023-01-04,28,79,56,8,28079056_8_8,62.0,V,139541,3.703125,23.026041666666668,1,2,50.0,0.66,74.0,0.0
2023-01-05,28,79,56,8,28079056_8_8,60.0,V,141955,4.036458333333333,23.317708333333332,1,3,62.0,0.69,73.0,0.0
2023-01-06,28,79,56,8,28079056_8_8,48.0,V,96127,2.398081140350877,15.58201754385965,1,4,60.0,0.68,78.0,0.0
2023-01-07,28,79,56,8,28079056_8_8,52.0,V,104210,2.4791666666666665,16.75,1,5,48.0,0.64,92.0,1.5
2023-01-08,28,79,56,8,28079056_8_8,16.0,V,98730,2.53125,16.109375,1,6,52.0,1.97,95.0,8.2
2023-01-09,28,79,56,8,28079056_8_8,35.0,V,150362,4.645833333333334,25.328125,1,0,16.0,1.16,72.0,0.0
2023-01-10,28,79,56,8,28079056_8_8,50.0,V,152380,4.895833333333333,25.755208333333332,1,1,35.0,0.8,81.0,0.0
2023-01-11,28,79,56,8,28079056_8_8,37.0,V,147678,5.098958333333333,25.572916666666668,1,2,50.0,0.8,92.0,0.0
2023-01-12,28,79,56,8,28079056_8_8,56.0,V,151796,5.385416666666667,25.729166666666668,1,3,37.0,0.71,83.0,0.0
2023-01-13,28,79,56,8,28079056_8_8,60.0,V,160129,5.101809210526316,27.05860745614035,1,4,56.0,0.81,81.0,0.0
2023-01-14,28,79,56,8,28079056_8_8,56.0,V,131168,3.375,21.020833333333336,1,5,60.0,0.69,86.0,0.0
2023-01-15,28,79,56,8,28079056_8_8,20.0,V,103782,2.560581140350877,17.124287280701754,1,6,56.0,1.14,80.0,0.0
2023-01-16,28,79,56,8,28079056_8_8,17.0,V,143085,4.578125,24.5,1,0,20.0,2.27,82.0,0.1
2023-01-17,28,79,56,8,28079056_8_8,13.0,V,144568,4.916666666666667,24.916666666666664,1,1,17.0,2.58,73.0,0.5
2023-01-18,28,79,56,8,28079056_8_8,17.0,V,148697,4.869791666666666,25.302083333333336,1,2,13.0,1.76,63.0,0.1
2023-01-19,28,79,56,8,28079056_8_8,20.0,V,150137,4.96875,25.53125,1,3,17.0,1.74,69.0,0.3
2023-01-20,28,79,56,8,28079056_8_8,42.0,V,161266,4.994791666666666,27.260416666666664,1,4,20.0,1.23,69.0,0.0
2023-01-21,28,79,56,8,28079056_8_8,43.0,V,133878,3.6145833333333335,21.671875,1,5,42.0,1.14,64.0,0.0
2023-01-22,28,79,56,8,28079056_8_8,37.0,V,105981,2.479166666666667,17.34375,1,6,43.0,1.01,45.0,0.0
2023-01-23,28,79,56,8,28079056_8_8,55.0,V,145987,4.375,24.84375,1,0,37.0,0.91,61.0,0.0
2023-01-24,28,79,56,8,28079056_8_8,40.0,V,142113,4.328125,24.427083333333336,1,1,55.0,1.31,64.0,0.0
2023-01-25,28,79,56,8,28079056_8_8,42.0,V,151677,4.765625,25.75,1,2,40.0,1.08,60.0,0.0
2023-01-26,28,79,56,8,28079056_8_8,52.0,V,154865,5.380208333333333,26.692708333333336,1,3,42.0,0.89,61.0,0.0
2023-01-27,28,79,56,8,28079056_8_8,50.0,V,156699,4.671875,26.947916666666664,1,4,52.0,1.16,61.0,0.0
2023-01-28,28,79,56,8,28079056_8_8,45.0,V,122244,2.973958333333333,20.151041666666664,1,5,50.0,1.06,58.0,0.0
2023-01-29,28,79,56,8,28079056_8_8,36.0,V,112927,3.1145833333333335,18.421875,1,6,45.0,1.29,62.0,0.0
2023-01-30,28,79,56,8,28079056_8_8,52.0,V,146584,4.229166666666666,25.010416666666668,1,0,36.0,0.77,63.0,0.0
2023-01-31,28,79,56,8,28079056_8_8,76.0,V,152731,4.84375,26.010416666666664,1,1,52.0,0.69,65.0,0.0
2023-02-01,28,79,56,8,28079056_8_8,63.0,V,157138,4.927083333333333,26.510416666666664,2,2,76.0,0.89,65.0,0.0
2023-02-02,28,79,56,8,28079056_8_8,80.0,V,162567,5.432291666666667,27.416666666666668,2,3,63.0,0.69,63.0,0.0
2023-02-03,28,79,56,8,28079056_8_8,77.0,V,163039,4.901041666666667,27.416666666666664,2,4,80.0,0.73,59.0,0.0
2023-02-04,28,79,56,8,28079056_8_8,74.0,V,124823,3.0208333333333335,20.239583333333336,2,5,77.0,0.72,56.0,0.0
2023-02-05,28,79,56,8,28079056_8_8,58.0,V,109251,2.5625,17.671875,2,6,74.0,0.86,48.0,0.0
2023-02-06,28,79,56,8,28079056_8_8,46.0,V,147463,4.442708333333334,24.958333333333332,2,0,58.0,1.59,58.0,0.0
2023-02-07,28,79,56,8,28079056_8_8,46.0,V,145790,4.75,25.119791666666664,2,1,46.0,1.11,68.0,0.8
2023-02-08,28,79,56,8,28079056_8_8,42.0,V,146560,4.572916666666667,25.286458333333336,2,2,46.0,1.36,68.0,0.0
2023-02-09,28,79,56,8,28079056_8_8,54.0,V,155689,4.927083333333334,26.411458333333336,2,3,42.0,0.8,68.0,0.0
2023-02-10,28,79,56,8,28079056_8_8,51.0,V,157518,4.713541666666667,26.875,2,4,54.0,1.05,63.0,0.0
2023-02-11,28,79,56,8,28079056_8_8,37.0,V,125052,3.026041666666667,20.510416666666664,2,5,51.0,1.32,62.0,0.0
2023-02-12,28,79,56,8,28079056_8_8,32.0,V,106339,2.75,17.666666666666668,2,6,37.0,1.13,64.0,0.0
2023-02-13,28,79,56,8,28079056_8_8,45.0,V,148512,4.546875,25.078125,2,0,32.0,1.14,70.0,0.0
2023-02-14,28,79,56,8,28079056_8_8,42.0,V,148410,4.697916666666667,25.463541666666664,2,1,45.0,1.5,70.0,0.0
2023-02-15,28,79,56,8,28079056_8_8,53.0,V,158264,5.046875,26.713541666666664,2,2,42.0,1.16,65.0,0.0
2023-02-16,28,79,56,8,28079056_8_8,62.0,V,160426,4.958333333333333,27.109375,2,3,53.0,0.88,60.0,0.0
2023-02-17,28,79,56,8,28079056_8_8,72.0,V,161549,4.65625,27.369791666666668,2,4,62.0,0.98,52.0,0.0
2023-02-18,28,79,56,8,28079056_8_8,63.0,V,116063,2.8854166666666665,19.416666666666664,2,5,72.0,0.85,48.0,0.0
2023-02-19,28,79,56,8,28079056_8_8,55.0,V,105017,3.59375,17.682291666666664,2,6,63.0,0.9,55.0,0.0
2023-02-20,28,79,56,8,28079056_8_8,53.0,V,153132,4.260416666666667,25.541666666666668,2,0,55.0,0.94,50.0,0.0
2023-02-21,28,79,56,8,28079056_8_8,48.0,V,156412,4.890625,26.296875,2,1,53.0,0.86,53.0,0.0
2023-02-22,28,79,56,8,28079056_8_8,52.0,V,156046,4.713541666666667,26.119791666666664,2,2,48.0,0.8,64.0,0.0
2023-02-23,28,79,56,8,28079056_8_8,23.0,V,150592,4.776041666666666,25.739583333333332,2,3,52.0,1.44,69.0,0.0
2023-02-24,28,79,56,8,28079056_8_8,45.0,V,151815,4.473958333333333,25.8125,2,4,23.0,0.84,60.0,0.0
2023-02-25,28,79,56,8,28079056_8_8,46.0,V,118707,3.036458333333333,19.505208333333336,2,5,45.0,0.93,62.0,0.0
2023-02-26,28,79,56,8,28079056_8_8,38.0,V,105758,2.5,17.182291666666664,2,6,46.0,0.96,61.0,0.0
2023-02-27,28,79,56,8,28079056_8_8,23.0,V,138189,4.171875,23.546875,2,0,38.0,1.32,45.0,0.0
